#level / index,exp
1,10
2,20
3,70
4,190
5,420
6,720
7,1100
8,1570
9,2350
10,3800
11,6280
12,10150
13,15770
14,23500
15,33730
16,45360
17,60090
18,78320
19,100450
20,127030
21,158660
22,195940
23,239470
24,289850
25,347830
26,414210
27,489790
28,575370
29,671750
30,779880
31,900760
32,1035390
33,1184770
34,1349900
35,1531930
36,1732060
37,1951490
38,2191420
39,2453050
40,2737880
41,3047510
42,3383540
43,3762170
44,4171300
45,4612930
46,5089060
47,5601690
48,6152820
49,6744950
50,7571080
51,8598210
52,9820840
53,11484470
54,13780600
55,16978730
